doc_id,related_cluster,relevance_score
12249,17,0.9548181482136073
7643,13,0.9434373282102769
6535,26,0.9293560127126883
12455,17,0.9277398004132148
2728,26,0.9235627432686594
3506,7,0.9193665452138997
6840,7,0.9184357502400503
12678,17,0.9164492335686089
12195,17,0.9142003081736861
8920,26,0.9141986274511907
2989,7,0.9080568792475815
6833,7,0.90479716432774
6926,13,0.8965879088681401
10188,29,0.8901008454515645
12688,17,0.8890597103772379
9213,26,0.8863022326778226
711,33,0.8840376928123008
329,37,0.883678715037242
3063,37,0.8802738048662802
9278,26,0.878825716643579
6914,13,0.8784250571520632
7413,13,0.8783649568810592
12320,17,0.8776908369903829
6534,0,0.8759770705029245
2710,0,0.875907140162273
8884,0,0.8755053415939201
9039,13,0.8729189601257797
7339,31,0.8722112693477058
10443,13,0.8708642354126157
10501,39,0.8706740256211686
522,17,0.8675450332564305
7769,13,0.8670797936498306
512,26,0.865542803096681
11999,17,0.8651487443514748
12177,17,0.864880779859501
7270,13,0.8621375794924702
7483,13,0.8590891655394343
10128,13,0.8580081238243057
163,31,0.8548910673063311
11633,17,0.8524945114564132
7332,13,0.8521962468171034
7738,13,0.8519334876152488
10957,29,0.8497488590779325
7506,31,0.8493030226954336
9044,13,0.8486628151247467
3825,26,0.8472705712886895
2988,32,0.8455841346381164
8653,13,0.8429382652347971
12360,13,0.8424744537854597
7504,13,0.8423455282166469
10803,13,0.8410526890992394
10557,37,0.8407339764317677
11879,13,0.8369327106182601
10459,37,0.8367723210595843
13105,13,0.836727167325189
5694,29,0.8364742637021739
8714,29,0.8358293599030339
10258,11,0.8347122015355416
10770,37,0.8341403281833794
837,7,0.8336580156954154
3103,37,0.8335489139817496
1778,13,0.8316038218914878
7560,21,0.8309089350634269
11027,13,0.8300593982825609
6359,13,0.8246194316355249
10244,13,0.8234208725942223
12253,17,0.822971841573413
6128,30,0.822268594423241
10927,29,0.8213572474675773
204,13,0.821204548969257
10774,13,0.82117114766368
13042,13,0.820613845280773
10812,13,0.8205319828961136
11106,7,0.8190369159072225
12171,17,0.8187698322669569
8613,13,0.81809819249427
10255,29,0.8180550804854072
22,31,0.8179443108688311
10499,37,0.8160345293579765
7267,31,0.8159011372067004
13111,13,0.815727261615959
6335,13,0.8155285450935676
13197,13,0.8151162014674348
9268,31,0.8146561333462475
12272,17,0.8140843781319971
10422,13,0.8136469001633615
10343,29,0.8130190952600814
7433,13,0.8123035956976858
12161,17,0.8120618363771981
6016,12,0.8115976229848993
5987,12,0.8115842184357508
147,13,0.8094514388795767
10652,37,0.8092928868569823
12533,17,0.80890140201274
9892,11,0.8085295679162002
7469,13,0.8075228984279336
5568,33,0.8072666083448672
692,7,0.807091748479607
2764,29,0.8069190026099969
11724,31,0.8065604479852386
12812,13,0.8052408890987444
10745,37,0.8052288676975753
10975,29,0.8051088789785695
13214,13,0.80478029710077
458,7,0.8038654049408802
10981,11,0.8038095831169214
9958,11,0.8034238660259118
9149,13,0.8028996598016
5399,17,0.8027326621482671
10673,13,0.8016167057843924
10970,13,0.8009744347962773
995,26,0.8008823563530699
1885,29,0.8005454482005339
4479,7,0.8004983903618547
6131,30,0.7994816340481938
539,39,0.7994278695648347
175,31,0.7987792974976259
7742,13,0.798508131930965
11291,13,0.7975727987983507
5057,30,0.7968368894836048
7315,13,0.7958061530773606
10686,37,0.7951472975680665
610,29,0.794535477691314
11515,7,0.794071656806034
10279,29,0.7933641192403499
2538,26,0.7927447714799764
4208,17,0.7919220817895839
10595,37,0.7918809740482385
4791,19,0.7914349091306712
5331,19,0.7910651632746242
8559,37,0.7907708537838465
12526,17,0.7890743420566032
13108,31,0.7879649870627111
1767,17,0.7872046297461643
10538,13,0.7868308146036673
272,11,0.7866642992644962
199,34,0.7863580599173122
12399,17,0.786002181447386
13099,13,0.7856859230098492
7269,34,0.7856697009352002
12318,17,0.785464536104151
9054,31,0.7829869803504961
870,6,0.7827028273595409
7526,31,0.7825226190706919
10815,33,0.7808876298537125
3572,17,0.7808535007898971
12019,34,0.7806180765088281
2157,17,0.7803362960202208
6295,13,0.779607293278588
13203,13,0.7787993911370702
13183,13,0.7785920748743977
300,29,0.7779564798869693
9369,22,0.7770198723585141
8409,26,0.7768480950701281
6135,30,0.776773730435631
7964,13,0.7760353333206819
8679,13,0.7758784146448456
3207,33,0.7758593004992572
10108,37,0.775623802286885
6699,27,0.7756033118892278
2,34,0.775437255716837
10107,13,0.7752734008385661
3870,33,0.7752608258376379
10502,29,0.7752151197421843
10019,22,0.7743157739393493
2268,26,0.7734642101405831
4975,33,0.7731106398283019
4153,7,0.7729132813107268
11219,31,0.7716815949112676
9045,13,0.7716091175014425
10087,32,0.771578690959731
10702,13,0.7702690330760784
2763,33,0.7698879455731705
10049,37,0.7697630238324303
2694,7,0.7696783356932184
8692,26,0.7696008566339604
10256,22,0.7695844550359308
6589,13,0.7679490725333042
13084,31,0.7675973867962329
7812,13,0.7672559106864566
9956,22,0.7662306726862571
6969,39,0.7661493446020475
12649,17,0.7661027989767824
10916,12,0.7657865038149845
9709,13,0.7656741552024733
353,5,0.7655558583391231
1572,26,0.7655058059605282
7833,13,0.7654976403468204
3718,17,0.7654558237608874
289,29,0.7652964982975073
7789,13,0.7652640153622153
2531,32,0.7651327730412487
4900,7,0.7648761242600914
4984,37,0.7645772107936835
4282,9,0.7642174582355606
6768,5,0.7641080063388558
12783,12,0.7633691063213405
8284,11,0.7633449630403935
